Date       ,Time       ,Transaction Platform,Spend,Expense/Revenue,Transaction Type
1/26/2019,1:15:38 AM,other platforms,-70,Expense,Cultural educational and recreational articles and services
1/26/2019,12:38:21 AM,other platforms,-60,Expense,Cultural educational and recreational articles and services
1/26/2019,12:35:49 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
1/26/2019,12:35:37 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
1/25/2019,8:21:20 AM,other platforms,-30,Expense,Cultural educational and recreational articles and services
1/25/2019,4:20:59 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
1/25/2019,4:20:36 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
1/25/2019,1:01:43 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
1/24/2019,2:09:35 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
1/24/2019,2:09:07 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
1/24/2019,2:08:48 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
1/24/2019,2:02:57 AM,other platforms,-36,Expense,Cultural educational and recreational articles and services
1/23/2019,12:09:48 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
1/23/2019,12:09:27 AM,other platforms,-36,Expense,Cultural educational and recreational articles and services
1/22/2019,4:20:31 AM,other platforms,-30,Expense,Cultural educational and recreational articles and services
1/22/2019,12:19:53 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
1/22/2019,12:19:36 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
1/21/2019,12:40:43 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
1/21/2019,12:40:17 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
1/20/2019,4:04:15 AM,other platforms,-328,Expense,Cultural educational and recreational articles and services
1/20/2019,4:03:26 AM,other platforms,-61,Expense,Cultural educational and recreational articles and services
1/20/2019,12:15:58 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
1/19/2019,6:15:06 PM,other platforms,-68,Expense,Others
1/19/2019,4:40:54 AM,other platforms,-37,Expense,Cultural educational and recreational articles and services
1/18/2019,12:52:35 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
1/18/2019,12:52:22 AM,other platforms,-36,Expense,Cultural educational and recreational articles and services
1/17/2019,5:43:26 AM,other platforms,-128,Expense,Cultural educational and recreational articles and services
1/17/2019,4:21:29 AM,other platforms,-158,Expense,Cultural educational and recreational articles and services
1/17/2019,1:33:09 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
1/17/2019,1:32:51 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
1/16/2019,9:26:44 PM,other platforms,-308,Expense,Others
1/16/2019,2:00:28 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
1/16/2019,2:00:15 AM,other platforms,-36,Expense,Cultural educational and recreational articles and services
1/15/2019,12:27:32 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
1/15/2019,12:27:19 AM,other platforms,-36,Expense,Cultural educational and recreational articles and services
1/14/2019,1:05:33 PM,other platforms,-128,Expense,Cultural educational and recreational articles and services
1/14/2019,12:38:19 PM,other platforms,-6,Expense,Cultural educational and recreational articles and services
1/14/2019,4:09:27 AM,other platforms,-30,Expense,Cultural educational and recreational articles and services
1/14/2019,12:09:05 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
1/14/2019,12:08:55 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
1/13/2019,4:22:30 AM,other platforms,-68,Expense,Cultural educational and recreational articles and services
1/13/2019,12:20:18 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
1/13/2019,12:20:02 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
1/13/2019,12:19:45 AM,other platforms,-36,Expense,Cultural educational and recreational articles and services
1/12/2019,7:38:35 AM,Taobao,-99.9,Expense,Communication
1/12/2019,7:34:04 AM,Taobao,28,Revenue,Communication
1/12/2019,7:33:53 AM,Taobao,-28,Expense,Communication
1/12/2019,7:18:48 AM,Taobao,68,Revenue,Communication
